Index,ID,User_ID,Friends_Count,Favourites_Count,Listed_Count,Status_Count,Created_at,Retweet_Count,Favourite_Count,Created_at,Text
102,1094036756255645696,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,0,2019-02-09 00:54:23,Anthony Davis will be in the lineup against the #twolves  but ... https://t.co/5Zh8jaDUdW
103,1094034393688027136,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,3,2019-02-09 00:45:00,Who is seriously failing at getting on board to greater health and wellness? Mothers. https://t.co/bkZRB2oDop https://t.co/EoTarkDHZI
104,1094030620131356673,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-09 00:30:00,Feb. 27 is new tentative date for acquiring BWCA permits. https://t.co/6hryihIBYn https://t.co/ynYA0KlWh1
105,1094026843991171072,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,9,14,2019-02-09 00:15:00,"Historic Fort Snelling renovation, including new visitors center, to start this fall.  https://t.co/0bdKyyK5zQ https://t.co/BUtxswH1Ru"
106,1094024832839180289,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-09 00:07:00,"Go inside Minnesota’s most eye-catching homes with our new Floored newsletter. Every Saturday, you’ll get photo-dri… https://t.co/9CIW2F6Znc"
107,1094023069696372736,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,7,2019-02-09 00:00:00,"As associate director for Minneapolis' Legal Rights Center, Sarah Davis says the worst place for at-risk youth is i… https://t.co/pASyLyib27"
108,1094019294348935168,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,4,2019-02-08 23:45:00,"Indoor skydiving, downhill skiing and other ways to have fun indoors in a Minnesota winter. https://t.co/K8OR7nRwPi https://t.co/S1ziL5zj3v"
109,1094015519898943491,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,3,2019-02-08 23:30:00,Help wanted: Minnesota State Patrol seeks nontraditional applicants to fill growing need for troopers.… https://t.co/CnkLAcchNK
110,1094009888592875521,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,10,6,2019-02-08 23:07:37,"St. Paul man charged with shooting, wounding school bus driver on I-35W had killed armed robber in 2015 in park.… https://t.co/u64Ztp8GVj"
111,1094007972387307521,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,3,10,2019-02-08 23:00:00,Rescue of schnauzer lost in below-freezing temperatures has surprise twist. https://t.co/8K5lnmbxFn https://t.co/wW4F2cE9l5
112,1094004194925785088,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,1,2019-02-08 22:45:00,"Baby shot, critically wounded in parked car in Chicago is on life support, police say. https://t.co/7Gorigzrcp"
113,1094000421071396864,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,2,2019-02-08 22:30:00,Virginia governor says he won't quit; second woman accuses lieutenant governor of sexual assault.… https://t.co/9JPPHFa3jO
114,1093996645262520325,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,5,2019-02-08 22:15:00,"Minnesota author channels Rosie the Riveter to inspire kids with Somali refugee story.  https://t.co/UUVCd122i9 

W… https://t.co/gu32oBYRdo"
115,1093993373780783104,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,1,2019-02-08 22:02:00,Opponents of St. Paul’s organized trash collection system filed a lawsuit demanding that city officials put it to a… https://t.co/K2dCRQUjU7
116,1093990353806319616,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,2,2019-02-08 21:50:00,Errors cause judge to throw out Georgia election a second time. https://t.co/tvfdiKzKS1 https://t.co/I8DZ7RfoLC
117,1093990247732518917,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,1,2,2019-02-08 21:49:35,Problems with Wells Fargo's online and mobile banking services lingered into a second day today. The bank extended… https://t.co/815qayyuCZ
118,1093986579109081088,17348525,691,358642,1852,3733,152331,2008-11-12 20:55:38,0,2,2019-02-08 21:35:00,"Minnesota's Club Book author series includes Leif Enger, Don Winslow, Lorna Landvik and more.… https://t.co/yq2S5QE7L7"
