Index,Source,P/C,,,,Count
331,"""Erin Alvarez""",                              ,,,,1
332,"""Megan Iacobini de Fazio\/The World""",Professional - the world,,,,4
333,"""Andrew Cullen\/AFP\/Getty Images""",Professional - getty,,,,1
334,"""Photo for The Washington Post by Alice Martins""",Professional - washington post,,,,1
335,"""Kent County Michigan Sheriff's Office via AP""",Professional - ap,,,,1
336,"""FOX19Now.com via AP""",Professional - ap,,,,1
337,"""Jabin Botsford""",Professional - washington post,,,,2
338,"""Oliver Contreras""",Professional - shutterstock,,,,2
339,"""Joe Giddens\/PA via AP""",Professional - ap,,,,1
340,"""Andrew Medichini, pool\/AFP\/Getty Images""",Professional - getty,,,,1
341,"""Sonja Flemming \/ CBS """,Professional - cbs,,,,1
342,"""Kevin C. Cox \/ Getty Images""",Professional - co.,,,,1
343,"""Scott Cunningham \/ Getty Images""",Professional - getty,,,,1
344,"""U.S. law enforcement via AP""",Professional - ap,,,,1
345,"""Jim Watson\/AFP\/Getty Images""",Professional - getty,,,,2
346,"""AP photo\/Kathy Willens""",Professional - ap,,,,3
347,""" Amy Harris\/AP""",Professional - ap,,,,1
348,"""Roy Rochlin \/ Getty Images""",Professional - getty,,,,1
349,"""Larry Roberts\/Post-Gazette""",Professional - gazette,,,,2
350,"""AP photo\/Patrick Semansky""",Professional - ap,,,,2
351,"""John Altdorfer""",                              ,,,,1
352,"""John Altdorfer photo""",                              ,,,,2
353,"""Levante Brewing Co.""",Professional - co.,,,,1
354,"""Federico Parra\/AFP\/Getty Images""",Professional - getty,,,,1
355,"""AP photo\/Andrew Dalton""",Professional - ap,,,,1
356,"""Patrick Harbron\/CBS""",Professional - cbs,,,,2
357,"""Evan Agostini\/Invision\/AP""",Professional - ap,,,,2
358,(Matt Freed\/Post-Gazette),Professional - gazette,,,,1
359,(Chris O'Meara\/Associated Press),Professional - associated press,,,,1
360,(Darrell SappPost-Gazette),Professional - gazette,,,,1
361,"""Sarah Collins\/Post-Gazette""",Professional - gazette,,,,2
362,"""Jordan Althaus\/NBC""",Professional - nbc,,,,2
363,"""Moyo Oyelola photo""",                              ,,,,1
364,"""Viorel Margineanu\/Dreamstime""",Professional - dreamstime,,,,1
365,"""Robin Rombach\/Post-Gazette""",Professional - gazette,,,,1
366,"""Bryan Conley for Carnegie Museum of Art""",Professional - carnegie museum,,,,1
367,"""Photo Courtesy of Colin Hutton\/Kudos, an Endemol Shine Company, MASTERPIECE and ITV""",Professional - company,,,,1
368,"""Patrick Harbron\/CBS Interactive Inc.""",Professional - cbs,,,,2
369,"""Gerald Herbert\/AP""",Professional - ap,,,,1
370,"""Jaimeson Ellis Architects Inc""",Professional - inc.,,,,1
371,""" Jaimeson Ellis Architects Inc""",Professional - inc.,,,,1
372,"""Linda Edleman""",                              ,,,,14
373,""" Linda Edleman""",                              ,,,,2
374,(Linda Edleman),                              ,,,,4
375,"""Caitlin O'Hara\/The New York Times""",Professional - times,,,,1
376,"""Jacquelyn Martin""",Professional - ap,,,,1
377,"""J. Scott Applewhite""",Professional - apple,,,,1
378,"""Andrew Harnik""",Professional - AP,,,,1
379,"""Nathan Denette\/The Canadian Press via AP""",Professional - ap,,,,7
380,"""Manuel Balce Ceneta\/AP""",Professional - ap,,,,1
381,"""Pittsburgh Penguins Foundation""",Professional - foundation,,,,2
382,"""Courtesy of BBC - Photographer: Laurence Cendrowicz  """,Professional - bbc,,,,1
383,"""Temitayo Adesokan \/ Daily Athenaeum """,                              ,,,,2
384,"""Jonathan Hayward\/The Canadian Press via AP""",Professional - ap,,,,1
385,"""Alexandru Cuznetov\/Dreamstime\/TNS""",Professional - tns,,,,1
386,"""Alex Edelman \/ Getty Images""",Professional - getty,,,,1
387,"""Anissa Hidouk""",                              ,,,,1
388,"""John Beale\/Post-Gazette""",Professional - gazette,,,,2
389,"""Melissa McCart\/Post-Gazette""",Professional - gazette,,,,4
390,(Joyce Mendelsohn\/Post-Gazette),Professional - gazette,,,,2
391,"""Gene J. Puskar\/Associated Press""",Professional - associated press,,,,2
